section,subsection,level,parent_item,title,description,full_text
Bathrooms,,1,,Automatic Toilet Seat Lower,lots of germs spread as you flush so a toilet seat that automatically shuts before it flushes. When you press the flush button it should also trigger the seat to come down before flushing.,Automatic Toilet Seat Lower - lots of germs spread as you flush so a toilet seat that automatically shuts before it flushes. When you press the flush button it should also trigger the seat to come down before flushing.
Bathrooms,,1,,Bathrooms don’t face Large Rooms,Bathrooms shouldn't face common entertainment spaces like dining rooms or living rooms.,Bathrooms don’t face Large Rooms - Bathrooms shouldn't face common entertainment spaces like dining rooms or living rooms.
Bathrooms,,1,,Foot Peddle to Open Toilet Seat,When you want to open the toilet seat without having to touch the toilet seat use the foot peddle to open it.,Foot Peddle to Open Toilet Seat - When you want to open the toilet seat without having to touch the toilet seat use the foot peddle to open it.
Bathrooms,,1,,Water Filters,In bedroom bathrooms water filters should be installed so everyone has clear skin when washing their face.,Water Filters - In bedroom bathrooms water filters should be installed so everyone has clear skin when washing their face.
Bathrooms,,1,,Double Electric Tooth Brush Charger,always really annoying when you have to take turns charging your tooth brush so a double one lets you charge each of your toothbrushes at same time.,Double Electric Tooth Brush Charger - always really annoying when you have to take turns charging your tooth brush so a double one lets you charge each of your toothbrushes at same time.
Bathrooms,,1,,Sink where the water doesn’t pool at the back under the tap,sink will go mouldy if the water pools on the top surface under the taps,Sink where the water doesn’t pool at the back under the tap - sink will go mouldy if the water pools on the top surface under the taps
Bathrooms,,1,,Anti-Scald Bathroom Taps,"Thermostatic taps that prevent water from exceeding a safe temperature, protecting children from burns.","Anti-Scald Bathroom Taps - Thermostatic taps that prevent water from exceeding a safe temperature, protecting children from burns."
Bathrooms,,1,,Not Too Low Table Tops,Table tops in kitchen and in bathroom not to low down that I have to bend my back to use them for hours. (But not to high that shorter people can’t use them),Not Too Low Table Tops - Table tops in kitchen and in bathroom not to low down that I have to bend my back to use them for hours. (But not to high that shorter people can’t use them)
Bathrooms,,1,,Foamy Hand soap,To give that luxury feel all the sinks should be paired with luxury foamy hand soap instead of the standard kind.,Foamy Hand soap - To give that luxury feel all the sinks should be paired with luxury foamy hand soap instead of the standard kind.
Bathrooms,,1,,Big Hidden Toilet Roll Storage,Large hidden toilet roll area so you never run out of toilet roll. There should be a good looking hidden storage for toilet rolls that someone can reach from the toilet seat if necessary. And it should be able to hold at least 4 or more toilet rolls.,Big Hidden Toilet Roll Storage - Large hidden toilet roll area so you never run out of toilet roll. There should be a good looking hidden storage for toilet rolls that someone can reach from the toilet seat if necessary. And it should be able to hold at least 4 or more toilet rolls.
Bathrooms,,1,,Hidden Charging Dock for Tooth Brush,The charging socket in the bathroom should be inside a cupboard so you can hide away the electric tooth brush in the cupboard.,Hidden Charging Dock for Tooth Brush - The charging socket in the bathroom should be inside a cupboard so you can hide away the electric tooth brush in the cupboard.
Bathrooms,,1,,A Good Big Shower,"enough room for two people to use at the same time, and enough water spray area for two people to be in the shower at the same time","A Good Big Shower - enough room for two people to use at the same time, and enough water spray area for two people to be in the shower at the same time"
Bathrooms,,1,,Shower with Mist Setting,For washing more sensitive areas,Shower with Mist Setting - For washing more sensitive areas
Bathrooms,,1,,Heated Toilet Seat,Comfort,Heated Toilet Seat - Comfort
Bathrooms,,1,,Japanese Smart Toilets,Easy to clean your back side.,Japanese Smart Toilets - Easy to clean your back side.
Bathrooms,,1,,Lots Space for Towels,Enough room for people to have more than one towel. A towel for your hair and the rest of your body.,Lots Space for Towels - Enough room for people to have more than one towel. A towel for your hair and the rest of your body.
Bathrooms,,1,,Lots of Different Colour Towels,Make it easier to remember whose towel is whose and which towel is for your hair and body,Lots of Different Colour Towels - Make it easier to remember whose towel is whose and which towel is for your hair and body
Bathrooms,,1,,Easy Temperature Shower,A shower that you can set to a specific temperature easily every time,Easy Temperature Shower - A shower that you can set to a specific temperature easily every time
Bathrooms,,1,,Led Showers,Atmospheric lighting in the shower,Led Showers - Atmospheric lighting in the shower
Bathrooms,,1,,LED Faucet,(no batteries needed),LED Faucet - (no batteries needed)
Bathrooms,,1,,Motion Sensor Taps with Manuel Setting As Well,Motion sensor taps for toilet and a manual settings as well to leave it on to fill something up,Motion Sensor Taps with Manuel Setting As Well - Motion sensor taps for toilet and a manual settings as well to leave it on to fill something up
Bathrooms,,1,,Soap Motion Sensors,Better if it’s attached to the mains so you don’t have to keep replacing the batteries.,Soap Motion Sensors - Better if it’s attached to the mains so you don’t have to keep replacing the batteries.
Bathrooms,,1,,Glass around the Shower Not A Curtain,Curtains get moulding quickly and start flying up when using the mist setting on the shower.,Glass around the Shower Not A Curtain - Curtains get moulding quickly and start flying up when using the mist setting on the shower.
Entrance,,1,,Wired Smart Doorbell,Doorbell with a camera connected to the mains power because changing the batteries is very annoying.,Wired Smart Doorbell - Doorbell with a camera connected to the mains power because changing the batteries is very annoying.
Entrance,,1,,UV Camera and Monitor and Suncream Station,check you’ve applied Suncream properly,UV Camera and Monitor and Suncream Station - check you’ve applied Suncream properly
Entrance,,1,,Indoor Dog Bath Area,If it’s really cold day it’s a lot nicer to give the dogs a bath in the inside than an outside hose.,Indoor Dog Bath Area - If it’s really cold day it’s a lot nicer to give the dogs a bath in the inside than an outside hose.
Entrance,,1,,Mirror by the door,To allow people to check how they look before going out there should be a mirror next to the front door.,Mirror by the door - To allow people to check how they look before going out there should be a mirror next to the front door.
Entrance,,1,,Safe Place for Parcels,Safe place to store packages and parcels after they have been delivered,Safe Place for Parcels - Safe place to store packages and parcels after they have been delivered
Entrance,,1,,Powerful Compressed Air Jet Machine,Air blower machine to shoot air off shows and other items and to also blow your hair up to look good.,Powerful Compressed Air Jet Machine - Air blower machine to shoot air off shows and other items and to also blow your hair up to look good.
Entrance,,1,,Place to Hide Bins,"A place to completely hide the outdoors bins from sight, but also isn’t too hard to access when taking the trash out.","Place to Hide Bins - A place to completely hide the outdoors bins from sight, but also isn’t too hard to access when taking the trash out."
Entrance,,1,,Large Hidden Shoe Cupboard,Hidden tidy easy to use shoe cupboard,Large Hidden Shoe Cupboard - Hidden tidy easy to use shoe cupboard
Entrance,,1,,Easy Access Bike storage,Hidden away so no one can easily steal it. And away from the rain and easy to get out and leave with it in a rush.,Easy Access Bike storage - Hidden away so no one can easily steal it. And away from the rain and easy to get out and leave with it in a rush.
Entrance,,1,,Dog Paw Cleaner Near Entrance,A hose attached to a brush to clean dogs paws and dirty legs,Dog Paw Cleaner Near Entrance - A hose attached to a brush to clean dogs paws and dirty legs
Entrance,,1,,Hidden Hose,- For washing muddy bikes and shoes,Hidden Hose - - For washing muddy bikes and shoes
Office,,1,,Standing Adjustable Height Desk,It’s so easy when you’re older for your health to decline and your life span to shorten.,Standing Adjustable Height Desk - It’s so easy when you’re older for your health to decline and your life span to shorten.
Office,,1,,Desk Treadmill,If you don’t have enough time to exercise and work then you could try do it at the same time.,Desk Treadmill - If you don’t have enough time to exercise and work then you could try do it at the same time.
Office,,1,,Most ergonomic comfortable chair,You might spend a lot of time sitting in this chair so you better make sure it’s as good for your back and your overall health as possible.,Most ergonomic comfortable chair - You might spend a lot of time sitting in this chair so you better make sure it’s as good for your back and your overall health as possible.
Office,,1,,Soundproof Home Office,Ensure the home office is fully soundproofed to allow for uninterrupted video calls and focus during work hours.,Soundproof Home Office - Ensure the home office is fully soundproofed to allow for uninterrupted video calls and focus during work hours.
Office,,1,,,,
Utility Room,,1,,Hidden Drying Racks,Built in heated drying racks for clothes that can be hidden for when guest come around,Hidden Drying Racks - Built in heated drying racks for clothes that can be hidden for when guest come around
Utility Room,,1,,At least Two Washing Machines,It’s always annoying when you have lots to wash and not a lot of time to wash it. So two washing machines would be nice.,At least Two Washing Machines - It’s always annoying when you have lots to wash and not a lot of time to wash it. So two washing machines would be nice.
Utility Room,,1,,Sound Proof Laundry Room,"Laundry room should be sound proof and be out of site, and be able to stay warm in the winter to dry clothes","Sound Proof Laundry Room - Laundry room should be sound proof and be out of site, and be able to stay warm in the winter to dry clothes"
Utility Room,,1,,Automated Laundry Folding Machine,"A device that folds clothes perfectly after washing and drying, saving time and effort.","Automated Laundry Folding Machine - A device that folds clothes perfectly after washing and drying, saving time and effort."
Study,,1,,3D Printer,or fixing and adding convince to thing around the house,3D Printer - or fixing and adding convince to thing around the house
Work Shop,,1,,3D printer,,3D printer
Work Shop,,1,,Laser Cuter,,Laser Cuter
Work Shop,,1,,Plasma Cutter,,Plasma Cutter
Work Shop,,1,,Vinyl Cutter,,Vinyl Cutter
Work Shop,Special Rooms,1,,Message Room with robot message machine as well,,Message Room with robot message machine as well
Work Shop,Special Rooms,1,,Oval Office Replica,,Oval Office Replica
Work Shop,Special Rooms,1,,Tardis Interior Replica,,Tardis Interior Replica
Work Shop,Special Rooms,1,,Fully Minecraft Themed Room,,Fully Minecraft Themed Room
Work Shop,Special Rooms,1,,Green Screen Room,,Green Screen Room
Work Shop,Special Rooms,1,,Live Streaming Studio Room with Full Kitchen,,Live Streaming Studio Room with Full Kitchen
Work Shop,Special Rooms,1,,Control Room,,Control Room
Work Shop,Special Rooms,1,,Press Room,,Press Room
Work Shop,Special Rooms,1,,Barber Hair Cutting Eoom,,Barber Hair Cutting Eoom
Work Shop,Ultimate Living and Dining Room,1,,146 micro led 8k screen,,146 micro led 8k screen
Work Shop,Ultimate Living and Dining Room,1,,Dolby Atmos Surround Sound System,,Dolby Atmos Surround Sound System
Work Shop,Ultimate Living and Dining Room,1,,Ultra Comfy Sofa,,Ultra Comfy Sofa
Work Shop,Ultimate Living and Dining Room,1,,Full Size Adjustable Table in Front of Sofa,,Full Size Adjustable Table in Front of Sofa
Work Shop,Ultimate Living and Dining Room,1,,Black Out Curtains,,Black Out Curtains
Work Shop,Ultimate Living and Dining Room,1,,Latest and greatest gaming PC,,Latest and greatest gaming PC
Work Shop,Ultimate Living and Dining Room,1,,,,
